Sail No.,Name,T,N,QR1,QR2,QR3,QR4,QR5,QR6,FR7,FR8,FR9,FR10,FR11,FR12,QR1_blue,QR1_red,QR1_yellow,QR2_blue,QR2_red,QR2_yellow,QR3_blue,QR3_red,QR3_yellow,QR4_blue,QR4_red,QR4_yellow,QR5_blue,QR5_red,QR5_yellow,QR6_blue,QR6_red,QR6_yellow,FR7_gold,FR7_silver,FR7_bronze,FR8_gold,FR8_silver,FR8_bronze,FR9_gold,FR9_silver,FR9_bronze,FR10_gold,FR10_silver,FR10_bronze,FR11_gold,FR11_silver,FR11_bronze,FR12_gold,FR12_silver,FR12_bronze
GRE 201659,Patroklos-Theodoros Tsaramyrsis,359.0,260.0,37,53 BFD,32,46,40,42,16,19,9,7,33,25,,37.0,,,53 BFD,,32,,,46,,,,,40,,,42,,,16,,,19,,,9,,,7,,,33,,,25.0
CAN 208550,Matti Muru,370.6,266.0,10,53 BFD,42,51.6 DPI,48,46,18,30,19,5,29,19,,,10.0,,,53 BFD,42,,,51.6 DPI,,,,,48,,,46,,,18,,,30,,,19,,,5,,,29,,,19.0
GUA 182121,Gabriel Sanz-Agero,372.0,266.0,35,53 BFD,45,38,38,39,20,5,20,11,15,53,35.0,,,53 BFD,,,,45,,,38,,,38,,,39,,,,20,,,5,,,20,,,11,,,15,,,53.0
USA 199796,Malcolm Lamphere,353.0,270.0,43,36,21,40,22,36,25,10,31,38,27,24,,,43.0,,,36,21,,,40,,,,22,,,36,,,,25,,,10,,,31,,,38,,,27,,,24.0
DEN 215515,Philip Georg Lauritsen Bunk,372.0,272.0,44,53 BFD,44,44,47,40,14,13,6,8,30,29,,44.0,,,53 BFD,,,,44,,,44,,,47,,,40,,,14,,,13,,,6,,,8,,,30,,,29.0
BER 215024,Benn Malcolm Smith,366.0,273.0,43,31,45,43,48,45,2,12,34,13,20,30,,43.0,,,31,,,,45,,,43,48,,,45,,,,,2,,,12,,,34,,,13,,,20,,,30.0
KOR 210791,Su Hyeon Yoon,379.0,281.0,15,26,53 DNF,45,43,39,22,45,32,28,11,20,,,15.0,,,26,,53 DNF,,,45,,43,,,39,,,,,22,,,45,,,32,,,28,,,11,,,20.0
TUR 191711,Alp Baltali,384.0,287.0,10,41,38,44,39,36,53 RET,32,18,24,21,28,10.0,,,41,,,38,,,44,,,,,39,,,36,,,53 RET,,,32,,,18,,,24,,,21,,,28.0
GRE 210400,Marios Karadimas,412.0,324.0,41,37,42,40,45,43,36,31,24,23,23,27,,41.0,,,37,,,,42,,,40,,45,,,43,,,,36,,,31,,,24,,,23,,,23,,,27.0
JPN 215093,Hiroki Kodama,434.0,328.0,39,53 BFD,40,45,46,47,31,2,53 RET,14,31,33,,39.0,,,53 BFD,,,,40,,,45,,,46,,,47,,,31,,,2,,,53 RET,,,14,,,31,,,33.0
VEN 213065,Andres Boccalandro,432.0,336.0,39,38,44,46,47,49,30,15,37,32,34,21,,,39.0,,,38,,44,,,46,,47,,,49,,,,,30,,,15,,,37,,,32,,,34,,,21.0
JPN 215038,Ken Fujimoto,451.0,355.0,34,35,47,42,49,47,21,27,38,40,37,34,,34.0,,,35,,,,47,,,42,49,,,47,,,,,21,,,27,,,38,,,40,,,37,,,34.0
LAT 210522,Karlis Eriks Zvilna,455.0,357.0,47,44,41,48,46,50,33,17,30,42,25,32,47.0,,,44,,,41,,,48,,,46,,,50,,,,,33,,,17,,,30,,,42,,,25,,,32.0
EST 212230,Martin Aruja,454.0,359.0,48,45,47,47,41,43,41,35,29,30,17,31,48.0,,,45,,,,47,,,47,,41,,,43,,,,,41,,,35,,,29,,,30,,,17,,,31.0
JPN 211151,Koichiro Sugiyama,458.0,360.0,49,33,49,48,46,44,40,29,5,43,36,36,,49.0,,,33,,,,49,,,48,,46,,,44,,,,40,,,29,,,5,,,43,,,36,,,36.0
EGY 214171,Aly Badawy,469.6,369.0,42,47,46,47,50,50.6 DPI,34,16,35,29,38,35,42.0,,,47,,,,,46,,,47,50,,,50.6 DPI,,,,,34,,,16,,,35,,,29,,,38,,,35.0
NZL 181998,Luke Deegan,468.0,371.0,47,40,36,33,43,35,37,50,36,35,39,37,,,47.0,,,40,36,,,33,,,,43,,,35,,,,37,,,50,,,36,,,35,,,39,,,37.0
JPN 208615,Shunsuke Kimura,491.0,392.0,51,43,48,48,47,45,35,36,25,33,41,39,,,51.0,,,43,,48,,,48,,,47,,,45,,,,35,,,36,,,25,,,33,,,41,,,39.0
USA 209289,Peter Hurley,496.6,400.0,45,34,43,48.6 DPI,44,48,39,39,41,37,40,38,,45.0,,,34,,,,43,,,48.6 DPI,,,44,,,48,,,39,,,39,,,41,,,37,,,40,,,38.0
JPN 205101,Kazushi Miyata,530.0,427.0,49,48,53 BFD,50,48,46,29,41,39,39,47,41,49.0,,,48,,,53 BFD,,,50,,,,48,,,46,,,,29,,,41,,,39,,,39,,,47,,,41.0
JPN 213161,Shigeki Miyako,535.0,432.0,52,36,49,49,50,51,38,26,46,47,48,43,,52.0,,,36,,,49,,,49,,,,50,,,51,,,38,,,26,,,46,,,47,,,48,,,43.0
JPN 211037,Rikizo Yamashita,535.0,434.0,50,32,50,51,49,47,42,34,45,44,49,42,,50.0,,,32,,,,50,,,51,,49,,,47,,,,42,,,34,,,45,,,44,,,49,,,42.0
JPN 109377,Akihiro Okawa,556.0,452.0,50,42,52,52,50,49,43,42,42,41,45,48,,,50.0,,,42,,,52,,,52,,50,,,49,,,,43,,,42,,,42,,,41,,,45,,,48.0
JPN 206773,Masanori Kubo,557.0,454.0,46,46,44,52,51,48,45,40,40,49,51,45,46.0,,,46,,,44,,,52,,,,51,,,48,,,,45,,,40,,,40,,,49,,,51,,,45.0
JPN 205102,Yoshiharu Cho,562.0,461.0,52,44,48,49,49,49,49,47,48,45,42,40,,,52.0,,,44,,,48,,,49,,,49,,,49,,,49,,,47,,,48,,,45,,,42,,,40.0
JPN 164166,Manabu Hotta,567.0,465.0,49,41,50,51,51,50,47,46,47,48,43,44,,,49.0,,,41,,50,,,51,,,,51,,,50,,,47,,,46,,,47,,,48,,,43,,,44.0
USA 180521,Marek Zaleski,574.0,468.0,40,16,53 BFD,41,53 DNC,53 DNC,53 DNC,53 DNC,53 DNC,53 DNC,53 DNC,53,,,40.0,,,16,53 BFD,,,41,,,,53 DNC,,,53 DNC,,,,53 DNC,,,53 DNC,,,53 DNC,,,53 DNC,,,53 DNC,,,53.0
JPN 166990,Ikuhiro Fukuda,582.0,477.0,51,50,51,50,52,52,46,44,43,46,44,53,51.0,,,50,,,,,51,,,50,,,52,,,52,,,46,,,44,,,43,,,46,,,44,,,53.0
EGY 207710,Omar Metwally,588.0,483.0,48,53 BFD,51,50,51,52,48,48,44,50,46,47,,48.0,,,53 BFD,,,51,,,50,,51,,,52,,,,,48,,,48,,,44,,,50,,,46,,,47.0
JPN 196488,Shinya Sakurai,589.0,485.0,52,49,43,51,52,51,44,51,49,51,50,46,52.0,,,49,,,43,,,51,,,52,,,51,,,,,44,,,51,,,49,,,51,,,50,,,46.0
